Images,Time,ZT,Light,Genotype,Rep,Target,Rel. Quant.,Scaled,Scaled ZT,Normalized
"RVE4: 2018-05-01 09hr 50min 47sec, actin: 2018-05-01 14hr 06min 38sec",0,5,60R,WT,1,RVE4,1,0.845849016,0.845849016,1.259623314
"RVE4: 2018-05-01 09hr 50min 47sec, actin: 2018-05-01 14hr 06min 38sec",1,5,60R,WT,1,RVE4,0.917176032,0.775792444,0.775792444,1.155296313
"RVE4: 2018-05-01 09hr 50min 47sec, actin: 2018-05-01 14hr 06min 38sec",2,5,60R,WT,1,RVE4,1.18224409,1,1,1.489182218
"RVE4: 2018-05-01 09hr 50min 47sec, actin: 2018-05-01 14hr 06min 38sec",4,5,60R,WT,1,RVE4,0.723173656,0.611695725,0.611695725,0.910926396
"RVE4: 2018-05-01 09hr 50min 47sec, actin: 2018-05-01 14hr 06min 38sec",0,17,60R,WT,1,RVE4,0.409129926,0.346062145,0.71071239,0.515349593
"RVE4: 2018-05-01 09hr 50min 47sec, actin: 2018-05-01 14hr 06min 38sec",1,17,60R,WT,1,RVE4,0.492917682,0.416933936,0.856262723,0.620890604
"RVE4: 2018-05-01 09hr 50min 47sec, actin: 2018-05-01 14hr 06min 38sec",2,17,60R,WT,1,RVE4,0.575661732,0.48692291,1,0.725116939
"RVE4: 2018-05-01 09hr 50min 47sec, actin: 2018-05-01 14hr 06min 38sec",4,17,60R,WT,1,RVE4,0.47690406,0.40338883,0.828444959,0.600719473
"RVE4: 2018-05-01 09hr 59min 29sec, actin: 2018-05-01 14hr 11min 00sec",0,5,60R,WT,2,RVE4,1,0.750925662,0.750925662,0.714512604
"RVE4: 2018-05-01 09hr 59min 29sec, actin: 2018-05-01 14hr 11min 00sec",1,5,60R,WT,2,RVE4,1.331689741,1,1,0.951509105
"RVE4: 2018-05-01 09hr 59min 29sec, actin: 2018-05-01 14hr 11min 00sec",2,5,60R,WT,2,RVE4,0.8916026,0.669527272,0.669527272,0.637061296
"RVE4: 2018-05-01 09hr 59min 29sec, actin: 2018-05-01 14hr 11min 00sec",4,5,60R,WT,2,RVE4,0.888190309,0.666964896,0.666964896,0.634623171
