Experiment,Blot,Label,Time,ZT,Light,Genotype,Rep,Target,Rel. Vol. (HA/control),Scaled,Scaled ZT
CHX 3,25,ZT7 0h 60B,0,7,60B,WT,1,RVE8,1.370494767,1,1
CHX 3,25,ZT7 1h 60B,1,7,60B,WT,1,RVE8,1.21999065,0.89018264,0.89018264
CHX 3,25,ZT7 2h 60B,2,7,60B,WT,1,RVE8,0.806479704,0.588458799,0.588458799
CHX 3,25,ZT7 4h 60B,4,7,60B,WT,1,RVE8,0.594335296,0.433664768,0.433664768
CHX 3,25,ZT19 0h 60B,0,19,60B,WT,1,RVE8,0.793334715,0.57886738,1
CHX 3,25,ZT19 1h 60B,1,19,60B,WT,1,RVE8,0.410502418,0.299528628,0.517439121
CHX 3,25,ZT19 2h 60B,2,19,60B,WT,1,RVE8,0.082829079,0.060437355,0.104406221
CHX 3,25,ZT19 4h 60B,4,19,60B,WT,1,RVE8,0.007492417,0.005466943,0.009444207
CHX 3,26,ZT7 0h 60R,0,7,60R,WT,1,RVE8,0.543607451,1,1
CHX 3,26,ZT7 1h 60R,1,7,60R,WT,1,RVE8,0.443029144,0.814979897,0.814979897
CHX 3,26,ZT7 2h 60R,2,7,60R,WT,1,RVE8,0.342942855,0.63086489,0.63086489
CHX 3,26,ZT7 4h 60R,4,7,60R,WT,1,RVE8,0.378990296,0.69717642,0.69717642
CHX 3,26,ZT19 0h 60R,0,19,60R,WT,1,RVE8,0.165270479,0.304025411,0.989690267
CHX 3,26,ZT19 1h 60R,1,19,60R,WT,1,RVE8,0.166992123,0.307192483,1
CHX 3,26,ZT19 2h 60R,2,19,60R,WT,1,RVE8,0.137253883,0.252487126,0.821918308
CHX 3,26,ZT19 4h 60R,4,19,60R,WT,1,RVE8,0.067453267,0.124084516,0.403930833
CHX 3,27,ZT7 0h DD,0,7,DD,WT,1,RVE8,0.489213961,0.791010906,0.791010906
CHX 3,27,ZT7 1h DD,1,7,DD,WT,1,RVE8,0.618466771,1,1
CHX 3,27,ZT7 2h DD,2,7,DD,WT,1,RVE8,0.259793452,0.420060485,0.420060485
CHX 3,27,ZT7 4h DD,4,7,DD,WT,1,RVE8,0.171275296,0.276935325,0.276935325
CHX 3,27,ZT19 0h DD,0,19,DD,WT,1,RVE8,0.07358033,0.118972164,0.305946529
CHX 3,27,ZT19 1h DD,1,19,DD,WT,1,RVE8,0.240500621,0.388865873,1
CHX 3,27,ZT19 2h DD,2,19,DD,WT,1,RVE8,0.127817043,0.2066676,0.531462424
CHX 3,27,ZT19 4h DD,4,19,DD,WT,1,RVE8,0.088152842,0.142534484,0.366538937
CHX 3,28,ZT7 0h DD,0,7,DD,WT,2,RVE8,0.319255752,0.941021252,0.941021252
CHX 3,28,ZT7 1h DD,1,7,DD,WT,2,RVE8,0.339265188,1,1
CHX 3,28,ZT7 2h DD,2,7,DD,WT,2,RVE8,0.290220867,0.85543957,0.85543957
CHX 3,28,ZT7 4h DD,4,7,DD,WT,2,RVE8,0.182548482,0.538070184,0.538070184
CHX 3,28,ZT19 0h DD,0,19,DD,WT,2,RVE8,0.093979161,0.277007971,1
CHX 3,28,ZT19 1h DD,1,19,DD,WT,2,RVE8,0.073630806,0.217030242,0.783480133
CHX 3,28,ZT19 2h DD,2,19,DD,WT,2,RVE8,0.028037637,0.082642246,0.298338875
