Experiment,Blot,Label,Time,ZT,Light,Genotype,Rep,Target,Rel. Vol. (HA/control),Scaled,Scaled ZT
CHX 6,63,ZT7 0h DD,0,7,DD,ztl,1,RVE8,3.59008477,1,1
CHX 6,63,ZT7 1h DD,1,7,DD,ztl,1,RVE8,2.755466112,0.767521183,0.767521183
CHX 6,63,ZT7 2h DD,2,7,DD,ztl,1,RVE8,2.495118407,0.695002644,0.695002644
CHX 6,63,ZT7 4h DD,4,7,DD,ztl,1,RVE8,2.013499712,0.560850186,0.560850186
CHX 6,63,ZT19 0h DD,0,19,DD,ztl,1,RVE8,1.836754408,0.511618674,1
CHX 6,63,ZT19 1h DD,1,19,DD,ztl,1,RVE8,1.253079706,0.34903903,0.682224962
CHX 6,63,ZT19 2h DD,2,19,DD,ztl,1,RVE8,0.900158746,0.250734677,0.490081168
CHX 6,63,ZT19 4h DD,4,19,DD,ztl,1,RVE8,0.37505372,0.104469321,0.204193722
CHX 6,64,ZT7 0h 60B,0,7,60B,ztl,1,RVE8,5.597680637,1,1
CHX 6,64,ZT7 1h 60B,1,7,60B,ztl,1,RVE8,3.816935723,0.68187808,0.68187808
CHX 6,64,ZT7 2h 60B,2,7,60B,ztl,1,RVE8,3.941476701,0.704126755,0.704126755
CHX 6,64,ZT7 4h 60B,4,7,60B,ztl,1,RVE8,3.976178453,0.710326064,0.710326064
CHX 6,64,ZT19 0h 60B,0,19,60B,ztl,1,RVE8,2.406371255,0.4298872,1
CHX 6,64,ZT19 1h 60B,1,19,60B,ztl,1,RVE8,1.663517728,0.297179821,0.691297207
CHX 6,64,ZT19 2h 60B,2,19,60B,ztl,1,RVE8,0.714054079,0.12756249,0.296734794
CHX 6,64,ZT19 4h 60B,4,19,60B,ztl,1,RVE8,0.282497473,0.050466879,0.117395631
CHX 6,65,ZT7 0h 60R,0,7,60R,ztl,1,RVE8,4.994333133,1,1
CHX 6,65,ZT7 1h 60R,1,7,60R,ztl,1,RVE8,2.461752075,0.492909065,0.492909065
CHX 6,65,ZT7 2h 60R,2,7,60R,ztl,1,RVE8,2.991876392,0.59905423,0.59905423
CHX 6,65,ZT7 4h 60R,4,7,60R,ztl,1,RVE8,1.901726184,0.380776799,0.380776799
CHX 6,65,ZT19 0h 60R,0,19,60R,ztl,1,RVE8,2.274957564,0.455507773,1
CHX 6,65,ZT19 1h 60R,1,19,60R,ztl,1,RVE8,1.373365099,0.27498468,0.603688227
CHX 6,65,ZT19 2h 60R,2,19,60R,ztl,1,RVE8,0.705457568,0.141251604,0.310097023
CHX 6,65,ZT19 4h 60R,4,19,60R,ztl,1,RVE8,0.484042104,0.096918265,0.212769729
CHX 6,67,ZT7 0h DD,0,7,DD,ztl,2,RVE8,4.897038317,1,1
CHX 6,67,ZT7 1h DD,1,7,DD,ztl,2,RVE8,3.114469516,0.635990432,0.635990432
CHX 6,67,ZT7 2h DD,2,7,DD,ztl,2,RVE8,1.758155472,0.359024242,0.359024242
CHX 6,67,ZT7 4h DD,4,7,DD,ztl,2,RVE8,1.127941812,0.230331425,0.230331425
CHX 6,67,ZT19 0h DD,0,19,DD,ztl,2,RVE8,1.175360447,0.24001455,1
CHX 6,67,ZT19 1h DD,1,19,DD,ztl,2,RVE8,0.81411685,0.16624678,0.692652923
CHX 6,67,ZT19 2h DD,2,19,DD,ztl,2,RVE8,0.840705714,0.17167636,0.715274804
CHX 6,67,ZT19 4h DD,4,19,DD,ztl,2,RVE8,0.570873822,0.116575323,0.485701066
CHX 6,68,ZT7 0h 60B,0,7,60B,ztl,2,RVE8,7.820953809,1,1
CHX 6,68,ZT7 1h 60B,1,7,60B,ztl,2,RVE8,4.765036818,0.609265434,0.609265434
CHX 6,68,ZT7 2h 60B,2,7,60B,ztl,2,RVE8,5.12586962,0.655402109,0.655402109
CHX 6,68,ZT7 4h 60B,4,7,60B,ztl,2,RVE8,2.871018983,0.367093203,0.367093203
CHX 6,68,ZT19 0h 60B,0,19,60B,ztl,2,RVE8,1.706689998,0.218220186,1
CHX 6,68,ZT19 1h 60B,1,19,60B,ztl,2,RVE8,0.868918099,0.111101295,0.509124739
CHX 6,68,ZT19 2h 60B,2,19,60B,ztl,2,RVE8,0.08391564,0.010729592,0.049168648
CHX 6,68,ZT19 4h 60B,4,19,60B,ztl,2,RVE8,0.022724638,0.00290561,0.013315036
CHX 6,78,ZT7 0h 60R,0,7,60R,ztl,2,RVE8,2.182726833,1,1
CHX 6,78,ZT7 1h 60R,1,7,60R,ztl,2,RVE8,1.584731014,0.726032681,0.726032681
CHX 6,78,ZT7 2h 60R,2,7,60R,ztl,2,RVE8,1.114551951,0.510623654,0.510623654
CHX 6,78,ZT7 4h 60R,4,7,60R,ztl,2,RVE8,1.013767505,0.464450012,0.464450012
CHX 6,78,ZT19 0h 60R,0,19,60R,ztl,2,RVE8,1.973625859,0.90420195,1
CHX 6,78,ZT19 1h 60R,1,19,60R,ztl,2,RVE8,1.746321204,0.80006402,0.884828903
CHX 6,78,ZT19 2h 60R,2,19,60R,ztl,2,RVE8,0.950240568,0.435345621,0.481469456
CHX 6,78,ZT19 4h 60R,4,19,60R,ztl,2,RVE8,0.322405061,0.147707471,0.163356727
CHX 7,98,ZT7 0h ztl,0,7,60B,ztl,1,RVE8,1.112130968,0.60229356,0.60229356
CHX 7,98,ZT7 1h ztl,1,7,60B,ztl,1,RVE8,1.140460339,0.617635815,0.617635815
CHX 7,98,ZT7 2h ztl,2,7,60B,ztl,1,RVE8,1.846493209,1,1
CHX 7,98,ZT7 4h ztl,4,7,60B,ztl,1,RVE8,0.849431035,0.460023915,0.460023915
CHX 7,98,ZT19 0h ztl,0,19,60B,ztl,1,RVE8,0.896226624,0.485366867,1
CHX 7,98,ZT19 1h ztl,1,19,60B,ztl,1,RVE8,0.625924361,0.33898005,0.698399651
CHX 7,98,ZT19 2h ztl,2,19,60B,ztl,1,RVE8,0.391967625,0.212276776,0.437353248
CHX 7,98,ZT19 4h ztl,4,19,60B,ztl,1,RVE8,0.246838796,0.133679775,0.275420066
CHX 7,100,ZT7 0h 60B ztl,0,7,60B,ztl,2,RVE8,2.282719114,1,1
CHX 7,100,ZT7 1h 60B ztl,1,7,60B,ztl,2,RVE8,2.171725041,0.951376377,0.951376377
CHX 7,100,ZT7 2h 60B ztl,2,7,60B,ztl,2,RVE8,2.110412864,0.924517104,0.924517104
CHX 7,100,ZT7 4h 60B ztl,4,7,60B,ztl,2,RVE8,1.550841789,0.679383538,0.679383538
CHX 7,100,ZT19 0h 60B ztl,0,19,60B,ztl,2,RVE8,1.18877216,0.520770231,1
CHX 7,100,ZT19 1h 60B ztl,1,19,60B,ztl,2,RVE8,0.760184954,0.333017299,0.63947069
CHX 7,100,ZT19 2h 60B ztl,2,19,60B,ztl,2,RVE8,0.47482831,0.208009959,0.399427515
CHX 7,100,ZT19 4h 60B ztl,4,19,60B,ztl,2,RVE8,0.262273126,0.114895049,0.220625225
CHX 8 ,102,ZT7 0h 60B ztl,0,7,60B,ztl,1,RVE8,0.346087345,0.479039866,0.479039866
CHX 8 ,102,ZT7 1h 60B ztl,1,7,60B,ztl,1,RVE8,0.722460425,1,1
CHX 8 ,102,ZT7 2h 60B ztl,2,7,60B,ztl,1,RVE8,0.590040955,0.816710418,0.816710418
CHX 8 ,102,ZT7 4h 60B ztl,4,7,60B,ztl,1,RVE8,0.690839466,0.95623157,0.95623157
CHX 8 ,102,ZT19 0h 60B ztl,0,19,60B,ztl,1,RVE8,0.446668453,0.618260097,1
