Protein,Label,ZT,Light,Rep,Fixed_Abundance
RVE8,ZT-3 60B,-3,60B,1,0.300868809
RVE8,ZT0 60B,0,60B,1,0.848431332
RVE8,ZT3 60B,3,60B,1,0.903283587
RVE8,ZT6 60B,6,60B,1,0.870188005
RVE8,ZT9 60B,9,60B,1,0.358531822
RVE8,ZT12 60B,12,60B,1,0.082377762
RVE8,ZT15 60B,15,60B,1,0.144846506
RVE8,ZT18 60B,18,60B,1,0.281982387
RVE8,ZT21 60B,21,60B,1,0.438130505
RVE8,ZT24 60B,24,60B,1,1
RVE8,ZT27 60B,27,60B,1,0.795576541
RVE8,ZT30 60B,30,60B,1,0.588074651
RVE8,ZT33 60B,33,60B,1,0.232011209
RVE8,ZT-3 60R,-3,60R,1,0.271149629
RVE8,ZT0 60R,0,60R,1,0.665879137
RVE8,ZT3 60R,3,60R,1,1
RVE8,ZT6 60R,6,60R,1,0.579435061
RVE8,ZT9 60R,9,60R,1,0.156483938
RVE8,ZT12 60R,12,60R,1,0.039356631
RVE8,ZT15 60R,15,60R,1,0.07838799
RVE8,ZT18 60R,18,60R,1,0.237345549
RVE8,ZT21 60R,21,60R,1,0.510478282
RVE8,ZT24 60R,24,60R,1,0.515261611
RVE8,ZT27 60R,27,60R,1,0.646202352
RVE8,ZT30 60R,30,60R,1,0.379995817
RVE8,ZT33 60R,33,60R,1,0.230719817
RVE8,ZT-3 LL,-3,LL,1,0.168875838
RVE8,ZT0 LL,0,LL,1,0.500626192
RVE8,ZT3 LL,3,LL,1,0.788960008
RVE8,ZT6 LL,6,LL,1,0.799694007
RVE8,ZT9 LL,9,LL,1,0.200274791
RVE8,ZT12 LL,12,LL,1,0.065661723
RVE8,ZT15 LL,15,LL,1,0.11100986
RVE8,ZT18 LL,18,LL,1,0.35990512
RVE8,ZT21 LL,21,LL,1,0.59164531
RVE8,ZT24 LL,24,LL,1,1
RVE8,ZT27 LL,27,LL,1,0.968204939
RVE8,ZT30 LL,30,LL,1,0.648513705
RVE8,ZT33 LL,33,LL,1,0.222474481
RVE8,ZT-3 LD,-3,LD,1,0.232785425
RVE8,ZT0 LD,0,LD,1,0.574965085
RVE8,ZT3 LD,3,LD,1,0.933265195
RVE8,ZT6 LD,6,LD,1,0.746159911
RVE8,ZT9 LD,9,LD,1,0.223047606
RVE8,ZT12 LD,12,LD,1,0.074531436
RVE8,ZT15 LD,15,LD,1,0.054992846
RVE8,ZT18 LD,18,LD,1,0.107959761
RVE8,ZT21 LD,21,LD,1,0.57735026
RVE8,ZT24 LD,24,LD,1,0.808258787
RVE8,ZT27 LD,27,LD,1,1
RVE8,ZT30 LD,30,LD,1,0.684790843
RVE8,ZT33 LD,33,LD,1,0.139451212
RVE8,ZT-3 DD,-3,DD,1,0.108363753
RVE8,ZT0 DD,0,DD,1,0.612413232
RVE8,ZT3 DD,3,DD,1,1
RVE8,ZT6 DD,6,DD,1,0.722263875
RVE8,ZT9 DD,9,DD,1,0.315403539
RVE8,ZT12 DD,12,DD,1,0.113258829
